16122564,01122564,01112564,01102564,01082564,16072564,01072564,01012564
"1,600.0","1,600.0","1,600.0","1,600.0","1,600.0","1,600.0","1,600.0","1,600.0"
"1,700.0","1,700.0","1,700.0","1,700.0","1,700.0","1,700.0","1,700.0","1,700.0"
"1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0"
"1,315.6","1,315.6","1,315.6","1,315.6","1,315.6","1,315.6","1,315.6","1,315.6"
"1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0"
"1,434.0","1,434.0","1,434.0","1,434.0","1,434.0","1,434.0","1,434.0","1,434.0"
"1,352.0","1,352.0","1,352.0","1,352.0","1,352.0","1,352.0","1,352.0","1,352.0"
"1,203.0","1,203.0","1,203.0","1,203.0","1,203.0","1,203.0","1,203.0","1,203.0"
"1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0"
"1,399.0","1,399.0","1,399.0","1,399.0","1,399.0","1,399.0","1,399.0","1,399.0"
"1,142.2","1,142.2","1,142.2","1,142.2","1,142.2","1,142.2","1,142.2","1,142.2"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0"
"1,519.0","1,519.0","1,519.0","1,519.0","1,519.0","1,519.0","1,519.0","1,519.0"
"1,212.0","1,212.0","1,212.0","1,212.0","1,212.0","1,212.0","1,212.0","1,212.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,300.0","1,300.0","1,300.0","1,300.0","1,300.0","1,300.0","1,300.0","1,300.0"
